Grievance,RepliedGrievance
"Sacred Heart High School and Junior College, Sector-04, Vashi, Navi Mumbai with UDISE Code 27211005402 is not showing in the list of colleges. Kindly resolve the issue immediately, as I am unable to choose Jr. Colleges for admission since past 2 days",Kindly verify/check after sometime
"Dear Sir'
I fill the form and Pay fee Rs.100 through UPI but receipt is not generated please check the status
and load my payment receipt.",Kindly verify/check after sometime
"The application fee has been paid but the payment is shown as pending. therefore, the application cannot be filled further.",Kindly verify/check after sometime
"The payment window is not getting started and it's keep showing the validate payment button. I have waited for more than 3-4 hours. But still the same problem arises

Kindly look into this matter and Resolve the issues as soon as possible.",Kindly check after sometime
"Greetings , Sir/madam . I am ssc student , when i was trying to register on the site i had issue with seat no. Verification and after so many attempts and complains problem was not resolved so i tried to select *Any other board* option and chose same board as maharashtra state board of secondary and higher education , pune . But it is showing only *Any other board in the information . Please help me . Student seat no. A320747 and mother's name is Gulshan Bano .","We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet. Also write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
"While filling application form, when I made the payment, it didn't got succeeded, I tried twice, Its been more than 20 hr but in Payment history status is showing 'Pending' only. and because of the same reason, I am not able to make another payment owing to which my application is not locked and blocked at Payment stage only. Kindly look into this urgently as without payment my application might got rejected. Attaching screenshot from Payment History & Payment Stage in single img.
My Application ID : A2153948088",Just relog Your account refresh the dashboard
payment is not getting validated,Kindly check after sometime
payment pending Error,Kindly check after sometime
payment paid  but showing pending,Kindly verify/check after sometime
"I HAVE PAYMENT PAID SUCCESSFULY THROUGH PHONPAY UPI ID BUT PAYMENT STILL PENDING IN THE FORM, I HAVE PAY THE ANOTHER PAYMENT BUT NOT SHOWIN PAY OPTION PLEASE SEE THE ATTACHMENT FILE AND SOLVE THE PROBLEM AS SOON AS POSSIBLE.",Kindly check after sometime
"Fees amount is paid and more than 24 hours completed there is no resolution, neither refunded nor accepted in form. Please solve this issue, refund it or completed the payment in the form so I fill up the next step of form",Kindly check after sometime
i have made payment 5 times but it is showing pending status. i cannot process further.,You will get refund within 7 working days
I have initiated the payment and amount has been credited from my account but still transaction remains incomplete.  I initiated transaction on 27 th may it has been more than 24 hrs still payment status is incomplete and i m not been able to proceed with form,Kindly check after sometime
I have initiated the payment and amount has been credited from my account but still transaction remains incomplete.  I initiated transaction on 27 th may it has been more than 24 hrs still payment status is incomplete and i m not been able to proceed with form,Kindly check after sometime
रजिस्ट्रेशन फी भरण्याची प्रक्रिया पूर्ण होत नाही.,Kindly check after sometime
Pending,Kindly check after sometime
"10 th Standard or Equivalent Examination Board
I chose misteklly  option for examination board i want to chose (Maharashtra State Secondary School Certificate) please give me permeation to change board option.","We need your consent to change your board. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet."
payment validation not working hence i can;t make payment.,Kindly check after sometime
"Dear Sir,
I am Yashoraj Santosh Jadhav. My login id is F0798486924. I have tried to pay fees but my transaction got failed 2 times. After trying to pay fees after 24 hours still system is not allowing me to pay fees. I am not able to process the request of admission. Please help. Pls call on my mobile and guide on my mobile no 9960194323",Kindly verify/check after sometime
"Dear Sir,
I am Yashoraj Santosh Jadhav. My login id is F0798486924. I have tried to pay fees but my transaction got failed 2 times. After trying to pay fees after 24 hours still system is not allowing me to pay fees. I am not able to process the request of admission. Please help. Pls call on my mobile and guide on my mobile no 9960194323",Kindly verify/check after sometime
PAYMENTS STATUS NOT UPDATED AMOUNT,Kindly check after sometime
The month of examination is filled incorrect by mistake. so please do the needful.,"To request changes in your registration details, please submit a signed letter starting the changes required.
Attach a copy of your School Leaving Certificate, which must indicate that your previous school is located within Maharashtra.
Submit the letter and attachments through the Grievance section of the portal."
